http://ok.zoho.to//i/?T=%E5%A4%AE%E5%8D%AB%E7%94%B5%E8%A7%86%E6%96%87%E4%BB%B6
中央卫视,#genre#
甘肃卫视,http://58.35.103.119:3333/rtp/239.45.0.15:5140$上海电信fofa
甘肃卫视,http://116.237.139.191:8888/rtp/239.45.0.15:5140$上海电信fofa
甘肃卫视,http://61.173.162.19:5000/rtp/239.45.0.15:5140$上海电信fofa
甘肃卫视,http://180.165.14.247:7088/rtp/239.45.0.15:5140$上海cip2
甘肃卫视,http://171.213.160.44:4022/rtp/239.93.0.81:5140$四川cphp4
贵州卫视,http://116.237.139.191:8888/rtp/239.45.1.80:5140$上海电信fofa
贵州卫视,http://27.19.146.199:2701/rtp/239.69.1.150:10536$湖北sxcp
贵州卫视,http://58.48.105.149:4022/rtp/239.69.1.150:10536$湖北cphp1
贵州卫视,http://58.35.103.119:3333/rtp/239.45.1.80:5140$上海电信fofa
贵州卫视,http://61.173.162.19:5000/rtp/239.45.1.80:5140$上海电信fofa
河北卫视,http://58.35.103.119:3333/rtp/239.45.1.44:5140$上海电信fofa
河北卫视,http://27.19.146.199:2701/rtp/239.254.96.113:9616$湖北sxcp
河北卫视,http://58.48.105.149:4022/rtp/239.254.96.113:9616$湖北cphp1
河北卫视,http://61.173.162.19:5000/rtp/239.45.1.44:5140$上海电信fofa
河北卫视,http://116.237.139.191:8888/rtp/239.45.1.44:5140$上海电信fofa
河南卫视,http://116.237.139.191:8888/rtp/239.45.0.3:5140$上海电信fofa
河南卫视,http://58.48.105.149:4022/rtp/239.69.1.168:10644$湖北cphp1
河南卫视,http://27.19.146.199:2701/rtp/239.69.1.168:10644$湖北sxcp
河南卫视,http://61.173.162.19:5000/rtp/239.45.0.3:5140$上海电信fofa
河南卫视,http://58.35.103.119:3333/rtp/239.45.0.3:5140$上海电信fofa
海南卫视,http://61.173.162.19:5000/rtp/239.45.1.81:5140$上海电信fofa
海南卫视,http://58.48.105.149:4022/rtp/239.69.1.151:10542$湖北cphp1
海南卫视,http://27.19.146.199:2701/rtp/239.69.1.151:10542$湖北sxcp
海南卫视,http://58.35.103.119:3333/rtp/239.45.1.81:5140$上海电信fofa
海南卫视,http://116.237.139.191:8888/rtp/239.45.1.81:5140$上海电信fofa
湖北卫视,http://61.173.162.19:5000/rtp/239.45.3.239:5140$上海电信fofa
湖北卫视,http://58.48.105.149:4022/rtp/239.254.96.115:8664$湖北cphp1
湖北卫视,http://27.19.146.199:2701/rtp/239.254.96.115:8664$湖北sxcp
湖北卫视,http://58.35.103.119:3333/rtp/239.45.3.239:5140$上海电信fofa
湖北卫视,http://116.237.139.191:8888/rtp/239.45.3.239:5140$上海电信fofa
湖南卫视,http://116.237.139.191:8888/rtp/239.45.3.228:5140$上海电信fofa
湖南卫视,http://27.19.146.199:2701/rtp/239.254.96.139:8908$湖北sxcp
湖南卫视,http://58.48.105.149:4022/rtp/239.254.96.139:8908$湖北cphp1
湖南卫视,http://58.35.103.119:3333/rtp/239.45.3.228:5140$上海电信fofa
湖南卫视,http://61.173.162.19:5000/rtp/239.45.3.228:5140$上海电信fofa
黑龙江卫视,http://58.35.103.119:3333/rtp/239.45.3.232:5140$上海电信fofa
黑龙江卫视,http://58.48.105.149:4022/rtp/239.254.96.138:8902$湖北cphp1
黑龙江卫视,http://27.19.146.199:2701/rtp/239.254.96.138:8902$湖北sxcp
黑龙江卫视,http://61.173.162.19:5000/rtp/239.45.3.232:5140$上海电信fofa
黑龙江卫视,http://116.237.139.191:8888/rtp/239.45.3.232:5140$上海电信fofa
吉林卫视,http://116.237.139.191:8888/rtp/239.45.0.6:5140$上海电信fofa
吉林卫视,http://27.19.146.199:2701/rtp/239.69.1.212:10914$湖北sxcp
吉林卫视,http://58.48.105.149:4022/rtp/239.69.1.212:10914$湖北cphp1
吉林卫视,http://58.35.103.119:3333/rtp/239.45.0.6:5140$上海电信fofa
吉林卫视,http://61.173.162.19:5000/rtp/239.45.0.6:5140$上海电信fofa
江苏卫视,http://27.19.146.199:2701/rtp/239.254.96.144:8938$湖北sxcp
江苏卫视,http://58.35.103.119:3333/rtp/239.45.3.177:5140$上海电信fofa
江苏卫视,http://58.48.105.149:4022/rtp/239.254.96.144:8938$湖北cphp1
江苏卫视,http://116.237.139.191:8888/rtp/239.45.3.177:5140$上海电信fofa
江苏卫视,http://61.173.162.19:5000/rtp/239.45.3.177:5140$上海电信fofa
江西卫视,http://116.237.139.191:8888/rtp/239.45.1.122:5140$上海电信fofa
江西卫视,http://58.48.105.149:4022/rtp/239.69.1.126:10394$湖北cphp1
江西卫视,http://27.19.146.199:2701/rtp/239.69.1.126:10394$湖北sxcp
江西卫视,http://61.173.162.19:5000/rtp/239.45.1.122:5140$上海电信fofa
江西卫视,http://58.35.103.119:3333/rtp/239.45.1.122:5140$上海电信fofa
辽宁卫视,http://58.35.103.119:3333/rtp/239.45.1.123:5140$上海电信fofa
辽宁卫视,http://27.19.146.199:2701/rtp/239.69.1.71:10066$湖北sxcp
辽宁卫视,http://58.48.105.149:4022/rtp/239.69.1.71:10066$湖北cphp1
辽宁卫视,http://116.237.139.191:8888/rtp/239.45.1.123:5140$上海电信fofa
辽宁卫视,http://61.173.162.19:5000/rtp/239.45.1.123:5140$上海电信fofa
内蒙卫视,http://182.32.160.6:9997/rtp/239.21.1.41:5002$山东sxcp
内蒙卫视,http://122.5.221.178:4023/rtp/239.21.1.41:5002$山东电信fofa
内蒙卫视,http://144.255.80.160:8664/rtp/239.21.1.41:5002$山东电信fofa
内蒙卫视,http://123.149.0.44:8800/rtp/239.16.10.25:2000$河南cip1
内蒙卫视,http://123.149.0.44:8800/rtp/239.16.20.91:10910$河南cip1
宁夏卫视,http://182.32.160.6:9997/rtp/239.21.1.44:5002$山东sxcp
宁夏卫视,http://144.255.80.160:8664/rtp/239.21.1.44:5002$山东电信fofa
宁夏卫视,http://122.5.221.178:4023/rtp/239.21.1.44:5002$山东电信fofa
宁夏卫视,http://123.168.202.152:4020/rtp/239.21.1.44:5002$山东sxcp
宁夏卫视,http://144.255.44.215:4022/rtp/239.21.1.44:5002$山东电信fofa
青海卫视,http://122.5.221.178:4023/rtp/239.21.1.43:5002$山东电信fofa
青海卫视,http://113.240.178.252:8888/rtp/239.76.254.132:9000$湖南电信fofa
青海卫视,http://144.255.44.215:4022/rtp/239.21.1.43:5002$山东电信fofa
青海卫视,http://123.168.202.152:4020/rtp/239.21.1.43:5002$山东sxcp
青海卫视,http://144.255.80.160:8664/rtp/239.21.1.43:5002$山东电信fofa
三沙卫视,http://117.86.51.74:8888/rtp/239.49.0.167:8000$江苏sxcp
三沙卫视,http://114.232.146.77:7777/rtp/239.49.0.167:8000$江苏sxcp
三沙卫视,http://114.225.42.57:8800/rtp/239.49.0.167:8000$江苏sxcp
三沙卫视,http://121.230.238.192:8000/rtp/239.49.0.167:8000$江苏sxcp
三沙卫视,http://121.238.47.244:8188/rtp/239.49.0.167:8000$江苏sxcp
四川卫视,http://58.35.103.119:3333/rtp/239.45.1.83:5140$上海电信fofa
四川卫视,http://58.48.105.149:4022/rtp/239.69.1.169:10650$湖北cphp1
四川卫视,http://27.19.146.199:2701/rtp/239.69.1.169:10650$湖北sxcp
四川卫视,http://61.173.162.19:5000/rtp/239.45.1.83:5140$上海电信fofa
四川卫视,http://116.237.139.191:8888/rtp/239.45.1.83:5140$上海电信fofa
山东卫视,http://116.237.139.191:8888/rtp/239.45.3.238:5140$上海电信fofa
山东卫视,http://27.19.146.199:2701/rtp/239.69.1.69:10054$湖北sxcp
山东卫视,http://58.48.105.149:4022/rtp/239.69.1.69:10054$湖北cphp1
山东卫视,http://61.173.162.19:5000/rtp/239.45.3.238:5140$上海电信fofa
山东卫视,http://58.35.103.119:3333/rtp/239.45.3.238:5140$上海电信fofa
