
https://d.kstore.dev/download/14687/%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB.txt



央视频道,#genre#
好消息,http://t.061899.xyz/tl/js/js.php?id=hxx
好消息2台,http://t.061899.xyz/tl/js/js.php?id=2hxxt
非凡商业,http://t.061899.xyz/tl/js/js.php?id=ffsy
国会频道1,http://t.061899.xyz/tl/js/js.php?id=1ghpd
国会频道2,http://t.061899.xyz/tl/js/js.php?id=2ghpd
TRACE URBAN,http://t.061899.xyz/tl/js/js.php?id=traceurban
MEZZO LIVE,http://t.061899.xyz/tl/js/js.php?id=mezzolive
韩国娱乐台,http://t.061899.xyz/tl/js/js.php?id=hgylt
GinxTV,http://t.061899.xyz/tl/js/js.php?id=ginxtv

無綫新聞台,http://tl.061833.xyz/tl/null-11
中國電影頻道,http://tl.061833.xyz/tl/null-6
亞洲劇台,http://tl.061833.xyz/tl/null-13
千禧經典台,http://tl.061833.xyz/tl/null-3
天映经典,http://tl.061833.xyz/tl/null-1
戲曲台,http://tl.061833.xyz/tl/null-15
明珠台,http://tl.061833.xyz/tl/null-12
星河频道,http://tl.061833.xyz/tl/null-7
功夫台,http://tl.061833.xyz/tl/null-17
粵語片台,http://tl.061833.xyz/tl/null-10
美亞電影台,http://tl.061833.xyz/tl/null-5
翡翠台,http://tl.061833.xyz/tl/null
華語劇台,http://tl.061833.xyz/tl/null-4
黄金翡翠台,http://tl.061833.xyz/tl/null-2
黄金华剧台,http://tl.061833.xyz/tl/null-9
TVBPlus,http://tl.061833.xyz/tl/pluse
娛樂新聞台,http://tl.061833.xyz/tl/null-14
Animax,http://tl.061833.xyz/tl/animax
AXN,http://tl.061833.xyz/tl/axn
KIX,http://tl.061833.xyz/tl/kix
LoveNatureHD,http://tl.061833.xyz/tl/lovenaturehd
myTVSUPER18台,http://tl.061833.xyz/tl/mytvsuper18
myTVSUPERFREE,http://tl.061833.xyz/tl/mytvsuperfree
NickJr,http://tl.061833.xyz/tl/nickjr
Nickelodeon,http://tl.061833.xyz/tl/nickelodeon
ROCKAction,http://tl.061833.xyz/tl/rockaction
ROCK綜藝娛樂,http://tl.061833.xyz/tl/rock
SUPERKidsChannel,http://tl.061833.xyz/tl/superkidschannel
ZooMoo,http://tl.061833.xyz/tl/zoomoo

电影频道,#genre#
东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv
Now星影,http://iptv.4666888.xyz/iptvGO.php?id=78
Now爆谷,http://iptv.4666888.xyz/iptvGO.php?id=76
天映经典,http://iptv.4666888.xyz/iptvGO.php?id=33
天映经典2,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
PopC电影,http://iptv.4666888.xyz/iptvGO.php?id=41
美亚电影(国语),http://iptv.4666888.xyz/iptvGO.php?id=31
美亚电影(港),http://stream-ali1.csslcloud.net/live/AyIsPzx3VHE0Zdn9qxVJ9vIskOMwiyhcmDJKYU2VVhXYHm5WRd.flv
美亚电影(台),http://stream-ali1.csslcloud.net/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv
靖天电影,http://iptv.4666888.xyz/iptv.php?id=20300
龙华经典,http://iptv.4666888.xyz/iptv.php?id=20245  
龙华电影,http://iptv.4666888.xyz/iptv.php?id=20240
龙华洋片,http://iptv.4666888.xyz/iptv.php?id=20242
纬来电影,http://iptv.4666888.xyz/iptv.php?id=20227
壹电影,http://iptv.4666888.xyz/iptv.php?id=20314
FGM_gold电影,http://iptv.4666888.xyz/iptv.php?id=20325
CM+电影,http://stream-ali1.csslcloud.net/live/GfPVn0eDChn6UoXnmsvZeKXYTNMgH8clNLUesg4VlSCLjkEICb.flv
星空卫视,http://stream-ali1.csslcloud.net/live/live/k64rsdGlshSyfwv329281DpNQWdegX0tm6NMsj6OWsUFWUahqU.flv
