http://www.52top.com.cn:678/migu_video/interface.txt
央视,#genre#
CGTN阿拉伯语,http://gslbmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=2025091709023888144510ffb74b519262a93b232c9c22&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20250917090238&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=123.119.84.37&SecurityKey=20250917090238&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d0ed99a59f62dc3decde8a10c153bb7f&ddCalcu=fd70vbeabdb39a591ac5091fa682eddcc3ed&sv=10004&ct=android
CGTN西班牙语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=20250917090238866e62de9d3042fbb2acb23deb9c435f&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20250917090238&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=123.119.84.37&SecurityKey=20250917090238&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=52fcc54809729a9434175cd04010a116&ddCalcu=6512v1faacy0ca15044800d9c752791a4934&sv=10004&ct=android
CGTN法语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=20250917090238bccbdb8aee4a459e8c953946ed5c560d&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20250917090238&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=123.119.84.37&SecurityKey=20250917090238&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=9f0e651ae3ae519e72c1dafd163b072a&ddCalcu=a92fv70a0eyb6a35611adef3aade15c1297e&sv=10004&ct=android
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=202509170902381acb8bce2cbb49388d883a673c067e3c&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20250917090238&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=123.119.84.37&SecurityKey=20250917090238&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=89d7ece5f2fb2fd8438d58795d4d5a5f&ddCalcu=f859vada57ydea4cde559f728f5bd28f3d48&sv=10004&ct=android
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/50/index.m3u8?msisdn=20250917090238c415884a9c8e4a87a1a72479d9fca321&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20250917090238&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=123.119.84.37&SecurityKey=20250917090238&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b52d9a83f5051667966587551c7309b1&ddCalcu=1bb5v92a0dz39a7ac8135f55708551666697&sv=10004&ct=android
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=20250917090239a0aa33997ba942e69f751ab47fd03dc4&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20250917090239&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=123.119.84.37&SecurityKey=20250917090239&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a3b253c303a5fb089c403ddee06bd064&ddCalcu=4a63v0bad2ab5a630ce3e0d3da350f4bc098&sv=10004&ct=android
体育,#genre#
五环传奇,http://gslbmgsplive.miguvideo.com/wd_r2/virtuallive/5102010211/75/index.m3u8?msisdn=20250917090239f70bbb21e4364462944704afd2b89a07&mdspid=&spid=800033&netType=0&sid=5500462658&pid=2028597139&timestamp=20250917090239&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=707671890&ParentNodeID=-99&assertID=5500462658&client_ip=123.119.84.37&SecurityKey=20250917090239&promotionId=&mvid=5102010211&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=446778be3ee3fc8cefb563cdbea5a318&ddCalcu=8414v36aa7k57aa8ebbed3ce3e635fbcf8ec&sv=10004&ct=android
赛事最经典,http://gslbmgsplive.miguvideo.com/wd_r3/cctv/saishijingdian/600/index.m3u8?msisdn=20250917090239b4be2660995f4e3ba414749a920f75ff&mdspid=&spid=699004&netType=0&sid=5500592947&pid=2028597139&timestamp=20250917090239&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=646596895&ParentNodeID=-99&assertID=5500592947&client_ip=123.119.84.37&SecurityKey=20250917090239&promotionId=&mvid=5101034296&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=397c20e52b31981cc44aaa64408b5f1b&ddCalcu=b319vf7a5ckb2a800e45426ba3a1a94841cc&sv=10004&ct=android
掼蛋精英赛,http://gslbmgsplive.miguvideo.com/wd_r4/virtuallive/5101059662/75/index.m3u8?msisdn=2025091709023971a04527772040d0828c3d415b64ba04&mdspid=&spid=800033&netType=0&sid=5500341085&pid=2028597139&timestamp=20250917090239&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631354620&ParentNodeID=-99&assertID=5500341085&client_ip=123.119.84.37&SecurityKey=20250917090239&promotionId=&mvid=5101059662&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6e51351ee76b8024e518e6f15259ae72&ddCalcu=267eve5aa1w93a55215e1ef766eb881052e4&sv=10004&ct=android
