https://live.tv.darwinchow.com/sub/02RzWQriTE3jE01zZXNlrNeHDTH1cT/txt
央视,#genre#
央视文化精品,https://live.tv.darwinchow.com/channel/yangshiwenhuajingpin?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
风云音乐,https://live.tv.darwinchow.com/channel/fengyunyinyue?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
第一剧场,https://live.tv.darwinchow.com/channel/diyijuchang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
怀旧剧场,https://live.tv.darwinchow.com/channel/huaijiujuchang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
风云剧场,https://live.tv.darwinchow.com/channel/fengyunjuchang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
兵器科技,https://live.tv.darwinchow.com/channel/bingqikeji?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
女性时尚,https://live.tv.darwinchow.com/channel/nvxingshishang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
央视台球,https://live.tv.darwinchow.com/channel/yangshitaiqiu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CHC家庭影院,https://live.tv.darwinchow.com/channel/chcjiatingyingyuan?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CHC影迷电影,https://live.tv.darwinchow.com/channel/chcyingmidianying?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
CHC动作电影,https://live.tv.darwinchow.com/channel/chcdongzuodianying?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
重温经典,https://live.tv.darwinchow.com/channel/chongwenjingdian?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
老故事,https://live.tv.darwinchow.com/channel/laogushi?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
中学生,https://live.tv.darwinchow.com/channel/zhongxuesheng?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
发现之旅,https://live.tv.darwinchow.com/channel/faxianzhilv?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
早期教育,https://live.tv.darwinchow.com/channel/cetvcece?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
中国天气,https://live.tv.darwinchow.com/channel/zhongguotianqi?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
书画,https://live.tv.darwinchow.com/channel/shuhua?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
优优宝贝,https://live.tv.darwinchow.com/channel/youyoubaobei?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
中华特产,https://live.tv.darwinchow.com/channel/zhonghuatechan?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
四海钓鱼,https://live.tv.darwinchow.com/channel/sihaidiaoyu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
环球旅游,https://live.tv.darwinchow.com/channel/huanqiulvyou?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
生态环境,https://live.tv.darwinchow.com/channel/eetv?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
优购物,https://live.tv.darwinchow.com/channel/yougouwu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
新动漫,https://live.tv.darwinchow.com/channel/xindongman?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
东方财经,https://live.tv.darwinchow.com/channel/dongfangcaijing?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
动漫秀场,https://live.tv.darwinchow.com/channel/dongmanxiuchang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
游戏风云,https://live.tv.darwinchow.com/channel/youxifengyun?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
法治天地,https://live.tv.darwinchow.com/channel/fazhitiandi?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
都市剧场,https://live.tv.darwinchow.com/channel/dushijuchang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
金色学堂,https://live.tv.darwinchow.com/channel/jinsexuetang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
生活时尚,https://live.tv.darwinchow.com/channel/shenghuoshishang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
财富天下,https://live.tv.darwinchow.com/channel/caifutianxia?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
求索纪录,https://live.tv.darwinchow.com/channel/qiusuojilu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
国学,https://live.tv.darwinchow.com/channel/guoxue?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
茶,https://live.tv.darwinchow.com/channel/cha?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
先锋乒羽,https://live.tv.darwinchow.com/channel/xianfengpingyu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
快乐垂钓,https://live.tv.darwinchow.com/channel/kuailechuijiao?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
天元围棋,https://live.tv.darwinchow.com/channel/tianyuanweiqi?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
睛彩竞技,https://live.tv.darwinchow.com/channel/jingcaijingji?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
睛彩青少,https://live.tv.darwinchow.com/channel/jingcaiqingshao?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
睛彩篮球,https://live.tv.darwinchow.com/channel/jingcailanqiu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86

数字,#genre#
爱情喜剧,https://live.tv.darwinchow.com/channel/newtvaiqingxiju?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
潮妈辣婆,https://live.tv.darwinchow.com/channel/newtvchaomalapo?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
动作电影,https://live.tv.darwinchow.com/channel/newtvdongzuodianying?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
古装剧场,https://live.tv.darwinchow.com/channel/newtvguzhuangjuchang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
家庭剧场,https://live.tv.darwinchow.com/channel/newtvjiatingjuchang?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
金牌综艺,https://live.tv.darwinchow.com/channel/newtvjinpaizongyi?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
惊悚悬疑,https://live.tv.darwinchow.com/channel/newtvjingsongxuanyi?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
精彩轮播,https://live.tv.darwinchow.com/channel/newtvjingcailunbo?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
精品大剧,https://live.tv.darwinchow.com/channel/newtvjingpindaju?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
精品纪录,https://live.tv.darwinchow.com/channel/newtvjingpinjilu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
精品萌宠,https://live.tv.darwinchow.com/channel/newtvjingpinmengchong?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
精品体育,https://live.tv.darwinchow.com/channel/newtvjingpintiyu?livekey=01WXj3JxY8Hbezkh4Vmf8vqz4l4KT64DSiEBG&userkey=fcafdfb739764c86
