http://txt.gt.tc/users/HKTV.txt
港澳频道,#genre#
靖洋卡通,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OuEvzW&tk=OAqBIJ73tkHQ
靖天国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0kcBv4&tk=OAqBIJ73tkHQ
靖天育乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ANkJmr&tk=OAqBIJ73tkHQ
靖天映画,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tAZYDi&tk=OAqBIJ73tkHQ
靖天欢乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hKJzP9&tk=OAqBIJ73tkHQ
HakkATV客家,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=88ioep&tk=OAqBIJ73tkHQ
TITV原住民,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MsaWSs&tk=OAqBIJ73tkHQ
MTV live,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ma1fkb&tk=OAqBIJ73tkHQ
猪哥亮哥厅秀,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yLwmDC&tk=OAqBIJ73tkHQ
爱尔达体育1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yCtECW&tk=OAqBIJ73tkHQ
爱尔达体育2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QZW0uM&tk=OAqBIJ73tkHQ
爱尔达体育3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NYQeFD&tk=OAqBIJ73tkHQ
爱尔达体育4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QN6uZi&tk=OAqBIJ73tkHQ
搏斯运动1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ymItxd&tk=OAqBIJ73tkHQ
搏斯运动2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DMrk3R&tk=OAqBIJ73tkHQ
搏斯高球1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=g71N2P&tk=OAqBIJ73tkHQ
搏斯高球2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qZdT5a&tk=OAqBIJ73tkHQ
搏斯网球,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2bZzs7&tk=OAqBIJ73tkHQ
搏斯无限,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BBR06i&tk=OAqBIJ73tkHQ
搏斯无限2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1uU18o&tk=OAqBIJ73tkHQ
搏斯魅力,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MwgaTs&tk=OAqBIJ73tkHQ
采昌影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KBxTpL&tk=OAqBIJ73tkHQ
公视戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2AqM4I&tk=OAqBIJ73tkHQ
壹电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fAx1Lr&tk=OAqBIJ73tkHQ
龙华日韩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=E9AdPY&tk=OAqBIJ73tkHQ
龙华电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=psIdCc&tk=OAqBIJ73tkHQ
龙华戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1xcb5H&tk=OAqBIJ73tkHQ
龙华卡通,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wdSNOc&tk=OAqBIJ73tkHQ
龙华经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RvUwXZ&tk=OAqBIJ73tkHQ
台湾戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=g50ltJ&tk=OAqBIJ73tkHQ
不定时更新,#genre#
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=K0If54&tk=OAqBIJ73tkHQ
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uMZbxx&tk=OAqBIJ73tkHQ
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fuNWjW&tk=OAqBIJ73tkHQ
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aHRHF8&tk=OAqBIJ73tkHQ
黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hqEWA0&tk=OAqBIJ73tkHQ
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=el48De&tk=OAqBIJ73tkHQ
娱乐新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ktHysT&tk=OAqBIJ73tkHQ
明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MUJL0x&tk=OAqBIJ73tkHQ
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jUcKbl&tk=OAqBIJ73tkHQ
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=edgXhN&tk=OAqBIJ73tkHQ
MyTV娱乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BYdM61&tk=OAqBIJ73tkHQ
MyTV亚洲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=abr1Ra&tk=OAqBIJ73tkHQ
MyTV粤语片台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QzCB7u&tk=OAqBIJ73tkHQ
MyTV戏曲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Zep8YE&tk=OAqBIJ73tkHQ
MyTV华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=O3AQEx&tk=OAqBIJ73tkHQ
MyTV剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qtlY9G&tk=OAqBIJ73tkHQ
黄金华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FPfRnO&tk=OAqBIJ73tkHQ
TVB星河(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hredmV&tk=OAqBIJ73tkHQ
TVB星河(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mFxbsG&tk=OAqBIJ73tkHQ
TVB功夫(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bZLEzI&tk=OAqBIJ73tkHQ
TVB功夫国,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=orKj3G&tk=OAqBIJ73tkHQ
TVB1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hOsgNY&tk=OAqBIJ73tkHQ
TVBe,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZAAS7i&tk=OAqBIJ73tkHQ
翡翠剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=G7lXxr&tk=OAqBIJ73tkHQ
明珠剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=turoeL&tk=OAqBIJ73tkHQ
TVB新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lQkSNW&tk=OAqBIJ73tkHQ
TVB18台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zFErk2&tk=OAqBIJ73tkHQ
华丽翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YHSCe1&tk=OAqBIJ73tkHQ
干禧经典台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=abEVur&tk=OAqBIJ73tkHQ
美亚电影台(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=v2KqUo&tk=OAqBIJ73tkHQ
美亚电影台(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I4KpYP&tk=OAqBIJ73tkHQ
天映频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ToSQgY&tk=OAqBIJ73tkHQ
天映经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=K753vF&tk=OAqBIJ73tkHQ
韩国TVN,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qOrgIt&tk=OAqBIJ73tkHQ
中国电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aVruCL&tk=OAqBIJ73tkHQ
ThriII,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=O85ld2&tk=OAqBIJ73tkHQ
PopC电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MtZlnH&tk=OAqBIJ73tkHQ
RHK31台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lKJeic&tk=OAqBIJ73tkHQ
RHK32台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nZiTg4&tk=OAqBIJ73tkHQ
HOY76台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=h5y9EI&tk=OAqBIJ73tkHQ
HOY77台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=d4wGU7&tk=OAqBIJ73tkHQ
HOY78台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QYPuyE&tk=OAqBIJ73tkHQ
LOVeNaTURe,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LaHvTy&tk=OAqBIJ73tkHQ
ROCK娱乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xl5Kf5&tk=OAqBIJ73tkHQ
ROCK电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8NBhoU&tk=OAqBIJ73tkHQ
KiK,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yvvo9Y&tk=OAqBIJ73tkHQ
有线18台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PEO6RJ&tk=OAqBIJ73tkHQ
MyTV18台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fDHlsP&tk=OAqBIJ73tkHQ
TVB-EYT,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=R3UoGU&tk=OAqBIJ73tkHQ
TVB-Music,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FV8KLu&tk=OAqBIJ73tkHQ
TVB-Sports,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ofgrOK&tk=OAqBIJ73tkHQ
TVB-劇場,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jWiBvg&tk=OAqBIJ73tkHQ
TVB-煲劇,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uWkYRh&tk=OAqBIJ73tkHQ
TVB-獎門人,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=efOHUf&tk=OAqBIJ73tkHQ
TVB-話當年,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5XxR2Z&tk=OAqBIJ73tkHQ
TVB-識嘆,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WGcL6q&tk=OAqBIJ73tkHQ
TVB-識食,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=L7CNxQ&tk=OAqBIJ73tkHQ
TVB-金曲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pVJPY7&tk=OAqBIJ73tkHQ
Now新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=m9jcmS&tk=OAqBIJ73tkHQ
Now直播台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jJ0l2F&tk=OAqBIJ73tkHQ
CINEMAX,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gI0B7p&tk=OAqBIJ73tkHQ
HBO family,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XGPQZx&tk=OAqBIJ73tkHQ
HBO HiTS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eVwmuN&tk=OAqBIJ73tkHQ
HBO,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0thV0g&tk=OAqBIJ73tkHQ
HBO lgnalure,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=D3Yt4Y&tk=OAqBIJ73tkHQ
MOVIE,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dvRpPm&tk=OAqBIJ73tkHQ
spoRTS1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WP5RVo&tk=OAqBIJ73tkHQ
Now爆谷台(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YeYvpw&tk=OAqBIJ73tkHQ
Now爆谷台(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BH6h3L&tk=OAqBIJ73tkHQ
Now星影台(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yEAjS0&tk=OAqBIJ73tkHQ
Now星影台(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XKBfn8&tk=OAqBIJ73tkHQ
Now华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eX9t98&tk=OAqBIJ73tkHQ
Now剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZySpym&tk=OAqBIJ73tkHQ
Now668台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uwG9WB&tk=OAqBIJ73tkHQ
Now英超1台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yFMmak&tk=OAqBIJ73tkHQ
央视频道,#genre#
CCTV1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OT6zUE&tk=OAqBIJ73tkHQ
