http://be.is-best.net/i/8/5611948.txt
IPTV上海,#genre#
洪泽综合,http://home.amucn.net:8800/udp/239.49.0.89:8000
镇江新闻综合,http://home.amucn.net:8800/udp/239.49.0.98:8000
东海综合,http://home.amucn.net:8800/udp/239.49.0.121:8000
兴化新闻综合,http://home.amucn.net:8800/udp/239.49.0.162:8000
铜山综合,http://home.amucn.net:8800/udp/239.49.0.163:8000
泰兴综合,http://home.amucn.net:8800/udp/239.49.0.168:8000
淮阴综合,http://home.amucn.net:8800/udp/239.49.0.169:8000
邳州综合,http://home.amucn.net:8800/udp/239.49.0.182:8000
盱眙综合,http://home.amucn.net:8800/udp/239.49.0.237:8000
新沂-1,http://home.amucn.net:8800/udp/239.49.0.238:8000
睢宁综合,http://home.amucn.net:8800/udp/239.49.0.239:8000
赣榆综合,http://home.amucn.net:8800/udp/239.49.0.241:8000
贾汪新闻,http://home.amucn.net:8800/udp/239.49.0.248:8000
泗阳综合,http://home.amucn.net:8800/udp/239.49.0.249:8000
响水综合,http://home.amucn.net:8800/udp/239.49.0.115:8912
宿豫综合,http://home.amucn.net:8800/udp/239.49.0.136:9976
财富天下,http://home.amucn.net:8800/udp/239.49.0.166:9322
南京教科,http://home.amucn.net:8800/udp/239.49.0.183:9434
江苏新闻,http://home.amucn.net:8800/udp/239.49.0.149:9186
江苏卫视,http://home.amucn.net:8800/udp/239.49.1.16:6000
江苏城市,http://home.amucn.net:8800/udp/239.49.1.17:6000
江苏综艺,http://home.amucn.net:8800/udp/239.49.1.18:6000
江苏体育,http://home.amucn.net:8800/udp/239.49.1.19:6000
江苏影视,http://home.amucn.net:8800/udp/239.49.1.20:6000
优漫卡通,http://home.amucn.net:8800/udp/239.49.1.21:6000
江苏新闻,http://home.amucn.net:8800/udp/239.49.1.22:6000
江苏国际,http://home.amucn.net:8800/udp/239.49.1.23:6000
江苏教育,http://home.amucn.net:8800/udp/239.49.1.25:6000
财富天下,http://home.amucn.net:8800/udp/239.49.1.29:6000
江苏国际,http://home.amucn.net:8800/udp/239.49.0.22:8168
南京综合,http://home.amucn.net:8800/udp/239.49.0.25:8192
南京教科,http://home.amucn.net:8800/udp/239.49.0.183:9434
南京十八,http://home.amucn.net:8800/udp/239.49.0.26:8200
江苏卫视,http://home.amucn.net:8800/udp/239.49.0.16:8120
江苏城市,http://home.amucn.net:8800/udp/239.49.0.17:8128
江苏综艺,http://home.amucn.net:8800/udp/239.49.0.18:8136
江苏体育休闲,http://home.amucn.net:8800/udp/239.49.0.19:8144
江苏影视,http://home.amucn.net:8800/udp/239.49.0.20:8152
优漫卡通,http://home.amucn.net:8800/udp/239.49.0.21:8160
江苏国际,http://home.amucn.net:8800/udp/239.49.0.22:8168
江苏教育,http://home.amucn.net:8800/udp/239.49.0.23:8176
南京影视,http://home.amucn.net:8800/udp/239.49.0.24:8000
南京综合,http://home.amucn.net:8800/udp/239.49.0.25:8192
