臺灣 Taiwan,#genre#
Animax,http://xtvantsc.xyz/Smart.php?id=Animax
EWTN,http://xtvantsc.xyz/Smart.php?id=Ewtn
AlQuran AlKareem,http://xtvantsc.xyz/Smart.php?id=AlQuran
Tawaf TV,http://xtvantsc.xyz/Smart.php?id=TawafTV
Vision Prime,http://xtvantsc.xyz/Smart.php?id=VisionPrime
Muslim TV,http://xtvantsc.xyz/Smart.php?id=MuslimTV
Music TV,http://xtvantsc.xyz/Smart.php?id=MusicTV
Lifestyle&Fashion,http://xtvantsc.xyz/Smart.php?id=Lifestyle
Entertain,http://xtvantsc.xyz/Smart.php?id=Entertain
Hits,http://xtvantsc.xyz/Smart.php?id=Hits
Warner TV,http://xtvantsc.xyz/Smart.php?id=WarnerTV
SCM,http://xtvantsc.xyz/Smart.php?id=Weishimovie
Thrill,http://xtvantsc.xyz/Smart.php?id=Thrill
Fight Sports,http://xtvantsc.xyz/Smart.php?id=Fs
Beinsports 2 HD,http://xtvantsc.xyz/Smart.php?id=Bein2hd
Hits Movie,http://xtvantsc.xyz/Smart.php?id=Hitsmovie
One,http://xtvantsc.xyz/Smart.php?id=One_mega
tvN Movie,http://xtvantsc.xyz/Smart.php?id=Tvnmovie
Celestial Movies HD,http://xtvantsc.xyz/Smart.php?id=Celestialindo
Rock Actions,http://xtvantsc.xyz/Smart.php?id=Rockaction
Rock Entertainment,http://xtvantsc.xyz/Smart.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),http://xtvantsc.xyz/Smart.php?id=j2_hkdavid
J2,http://xtvantsc.xyz/Smart.php?id=j2_twn
RHK 31,http://xtvantsc.xyz/Smart.php?id=rhk31_twn
RHK 32,http://xtvantsc.xyz/Smart.php?id=rhk32_twn
TVB 星河,http://xtvantsc.xyz/Smart.php?id=tvbxinhe_twn
VIUTV1,http://xtvantsc.xyz/Smart.php?id=viu1_twn
Viu TV 69,http://xtvantsc.xyz/Smart.php?id=viutv69_hkdavid
Viu6,http://xtvantsc.xyz/Smart.php?id=viusix_twn
iNews 新聞台,http://xtvantsc.xyz/Smart.php?id=inews_twn
無線財經資訊台,http://xtvantsc.xyz/Smart.php?id=tvbcaijing_twn
珍珠台(備用),http://xtvantsc.xyz/Smart.php?id=pearl_hkdavid
珍珠台,http://xtvantsc.xyz/Smart.php?id=pearl_twn
翡翠台(備用),http://xtvantsc.xyz/Smart.php?id=jade_mike
翡翠台,http://xtvantsc.xyz/Smart.php?id=jade_twn
鳳凰衛視,http://xtvantsc.xyz/Smart.php?id=phoenixtv_hd
鳳凰資訊,http://xtvantsc.xyz/Smart.php?id=phoenixinfo_hd
鳳凰香港,http://xtvantsc.xyz/Smart.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,http://xtvantsc.xyz/Smart.php?id=cctv1
CCTV-2,http://xtvantsc.xyz/Smart.php?id=cctv2
CCTV-3,http://xtvantsc.xyz/Smart.php?id=cctv3
CCTV-4,http://xtvantsc.xyz/Smart.php?id=cctv4
CCTV-4,http://xtvantsc.xyz/Smart.php?id=Cctv4
CCTV-5,http://xtvantsc.xyz/Smart.php?id=cctv5
CCTV-5+,http://xtvantsc.xyz/Smart.php?id=cctv5plus
CCTV-6,http://xtvantsc.xyz/Smart.php?id=cctv6
CCTV-7,http://xtvantsc.xyz/Smart.php?id=cctv7
CCTV-8,http://xtvantsc.xyz/Smart.php?id=cctv8hd
CCTV-9,http://xtvantsc.xyz/Smart.php?id=cctv9hd
CCTV-10,http://xtvantsc.xyz/Smart.php?id=cctv10hd
CCTV-11,http://xtvantsc.xyz/Smart.php?id=cctv11
CCTV-12,http://xtvantsc.xyz/Smart.php?id=cctv12
CCTV-13,http://xtvantsc.xyz/Smart.php?id=cctv13
CCTV-14,http://xtvantsc.xyz/Smart.php?id=cctv14
CCTV-15,http://xtvantsc.xyz/Smart.php?id=cctv15
CCTV-16,http://xtvantsc.xyz/Smart.php?id=cctv16
CCTV-17,http://xtvantsc.xyz/Smart.php?id=cctv17
湖南衛視,http://xtvantsc.xyz/Smart.php?id=hunan_twn
江蘇衛視,http://xtvantsc.xyz/Smart.php?id=jiangsu_twn
深圳衛視,http://xtvantsc.xyz/Smart.php?id=shenzhen
大灣區衛視,http://xtvantsc.xyz/Smart.php?id=nanfang_twn
廣東衛視,http://xtvantsc.xyz/Smart.php?id=guangdongweishi_twn
北京衛視,http://xtvantsc.xyz/Smart.php?id=beijing
廣東珠江,http://xtvantsc.xyz/Smart.php?id=zhujiang
廣西衛視,http://xtvantsc.xyz/Smart.php?id=guangxi
湖北衛視,http://xtvantsc.xyz/Smart.php?id=hubei
四川衛視,http://xtvantsc.xyz/Smart.php?id=sichuan_twn
鳳凰衛視,http://xtvantsc.xyz/Smart.php?id=phoenixtv_hd
東方衛視,http://xtvantsc.xyz/Smart.php?id=dongfangweishi_twn
CGTN,http://xtvantsc.xyz/Smart.php?id=CGTN
鳳凰資訊,http://xtvantsc.xyz/Smart.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://xtvantsc.xyz/Smart.php?id=Assp1
Supersports 1(備用),http://xtvantsc.xyz/Smart.php?id=go_assp1
Supersportq 1(備用2),http://xtvantsc.xyz/Smart.php?id=Assp1_mega
Supersports 2,http://xtvantsc.xyz/Smart.php?id=Assp2
Supersports 2(備用),http://xtvantsc.xyz/Smart.php?id=go_assp2
Supersports 3,http://xtvantsc.xyz/Smart.php?id=Assp3
Supersports 3(備用),http://xtvantsc.xyz/Smart.php?id=go_assp3
Supersports 3(備用2),http://xtvantsc.xyz/Smart.php?id=Assp3_mega
Supersports 4,http://xtvantsc.xyz/Smart.php?id=Assp4_mega
Supersports 4(備用),http://xtvantsc.xyz/Smart.php?id=go_assp4
Supersports 5,http://xtvantsc.xyz/Smart.php?id=go_assp5
Bein 2HD,http://xtvantsc.xyz/Smart.php?id=Beinhd
Beinsports HD,http://xtvantsc.xyz/Smart.php?id=Besports
Champion 5 EPL,http://xtvantsc.xyz/Smart.php?id=Champion5epl
WWE,http://xtvantsc.xyz/Smart.php?id=Wwe
Champion 6 EPL,http://xtvantsc.xyz/Smart.php?id=Champion6epl
Fight Sports,http://xtvantsc.xyz/Smart.php?id=Fs
UFC Network,http://xtvantsc.xyz/Smart.php?id=ufc_mega
NBA TV,http://xtvantsc.xyz/Smart.php?id=nbatv_twn
Astro Cricket,http://xtvantsc.xyz/Smart.php?id=Acricket_mega
Astro Golf,http://xtvantsc.xyz/Smart.php?id=Agolf
TNT Sports 1,http://xtvantsc.xyz/Smart.php?id=beeone
TNT Sports 2,http://xtvantsc.xyz/Smart.php?id=beetwo
TNT Sports 3,http://xtvantsc.xyz/Smart.php?id=beethree
TNT Sports 4,http://xtvantsc.xyz/Smart.php?id=beefour
Sony Ten 1,http://xtvantsc.xyz/Smart.php?id=ten1_raj
Sony Ten 2,http://xtvantsc.xyz/Smart.php?id=ten2_raj
Sony Ten 3,http://xtvantsc.xyz/Smart.php?id=ten3_raj
SPOTV 1 HD,http://xtvantsc.xyz/Smart.php?id=go_spotv
SPO TV 2,http://xtvantsc.xyz/Smart.php?id=go_spotv2
Beinsports 2 HD,http://xtvantsc.xyz/Smart.php?id=Bein2hd
Skysports Arena,http://xtvantsc.xyz/Smart.php?id=tiankongarena
Skysports F1,http://xtvantsc.xyz/Smart.php?id=tiankongf1
Skysports Cricket,http://xtvantsc.xyz/Smart.php?id=tiankongcricket
Skysports EPL,http://xtvantsc.xyz/Smart.php?id=tiankongepl
Skysports Football,http://xtvantsc.xyz/Smart.php?id=tiankongfootball
Skysports Golf,http://xtvantsc.xyz/Smart.php?id=tiankonggolf
Skysports Main Event,http://xtvantsc.xyz/Smart.php?id=tiankongmain
Skysports News,http://xtvantsc.xyz/Smart.php?id=tiankongnews
