🇨🇳央视IPTV,#genre#
CCTV1,http://117.141.162.238:8181/tsfile/live/1107_1.m3u8?key=txiptv&playlive=1&authid=0$线路119
CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路120
CCTV1,http://60.8.75.178:9002/hls/1/index.m3u8$线路121
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8$线路122
CCTV1,http://60.26.12.121:9901/tsfile/live/16008_1.m3u8?key=txiptv$线路123
CCTV1,http://cdn5.zone.id/live/cctv1/stream.m3u8$线路124
CCTV1,http://b.402089.xyz:4022/udp/233.50.200.99:5140$线路125
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路126
CCTV1,http://101.66.199.144:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$线路127
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$线路128
CCTV1,http://120.198.95.220:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1$线路129
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8$线路130
CCTV1,https://cdn5.132.us.kg/live/cctv1/stream.m3u8$线路131
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路132
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8$线路133
CCTV1,http://101.66.199.251:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$线路134
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8$线路135
CCTV1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路136
CCTV1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com$线路137
CCTV1,http://113.25.252.226:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路138
CCTV1,http://113.25.252.226:9901/tsfile/live/0001_1.m3u8$线路139
CCTV1,http://125.125.234.156:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路140
CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路141
CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$线路142
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$线路143
CCTV1,http://58.58.111.222:808/hls/1/index.m3u8$线路144
CCTV1,http://101.74.31.55:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路145
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路146
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv$线路147
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8$线路148
CCTV1,http://183.238.120.90:4430/hls/1/index.m3u8$线路149
CCTV1,http://121.19.134.155:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路150
CCTV1,http://182.150.23.74:808/hls/1/index.m3u8$线路151
CCTV1,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$线路152
CCTV1,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8$线路153
CCTV1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$线路154
CCTV1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8$线路155
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路156
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8$线路157
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路158
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$线路159
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路160
CCTV1,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8$线路161
CCTV1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$线路162
CCTV1,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路163
CCTV1,http://183.238.120.178:4430/hls/1/index.m3u8$线路164
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8$线路165
CCTV1,http://101.19.84.8:9901/tsfile/live/0001_1.m3u8$线路166
CCTV1,http://61.163.181.78:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路167
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路168
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8$线路169
CCTV1,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=11200132825562653886&toc_style_id=feeds_only_back&share_to=copy_url&track_id=c3e89ea6-77d8-4230-89a3-a492aa16ee4c$线路170
CCTV1,video://https://web.junhao.mil.cn/cms/rmt9502_html/735/735mrgrgklm/5234612.shtml?share=true&type=15&articleid=5234612$线路171
CCTV1,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=11200132825562653886$线路172
CCTV1,video://https://www.hndyjyfw.gov.cn/livePlay.html?u=1$线路173
CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33$线路174
CCTV1,video://http://www.guangbomi.com/tv/zy/cctv1.html$线路175
CCTV1,video://https://v.lib.tju.edu.cn/tv-show-detail/3$线路176
CCTV2,http://www.li0580.top:4022/udp/233.50.200.100:5140$线路1
CCTV2,http://www.li0580.top:4022/udp/233.50.201.119:5140$线路2
CCTV2,http://www.li0580.top:4022/udp/233.50.200.25:5140$线路3
CCTV2,http://www.li0580.top:4022/udp/233.50.201.2:5140$线路4
CCTV2,http://taolinhz.3322.org:4000/udp/233.50.200.100:5140$线路5
CCTV2,http://taolinhz.3322.org:4000/udp/233.50.201.119:5140$线路6
CCTV2,http://taolinhz.3322.org:4000/udp/233.50.200.25:5140$线路7
CCTV2,http://taolinhz.3322.org:4000/udp/233.50.201.2:5140$线路8
CCTV2,http://36.24.185.17:8888/rtp/233.50.201.119:5140$线路9
CCTV2,http://36.24.185.17:8888/rtp/233.50.200.25:5140$线路10
CCTV2,http://101.96.156.51:41097/rtp/239.254.200.158:6000$线路11
CCTV2,http://111.226.210.79:10010/rtp/239.254.200.158:6000$线路12
CCTV2,http://113.120.46.204:8123/udp/239.21.1.151:5002$线路13
CCTV2,http://58.32.33.197:4022/rtp/239.45.3.208:5140$线路14
CCTV2,http://221.10.226.195:5000/rtp/239.0.0.11:5140$线路15
CCTV2,http://116.233.38.0:8888/udp/239.45.1.109:5140$线路16
CCTV2,http://42.92.195.230:10000/rtp/239.255.30.179:8231$线路17
CCTV2,http://27.154.96.43:3386/rtp/239.61.2.174:9032$线路18
CCTV2,http://123.174.106.183:8888/rtp/239.1.1.8:8008$线路19
CCTV2,http://124.227.196.214:9988/rtp/239.81.0.115:4056$线路20
CCTV2,http://218.81.49.40:10010/rtp/239.45.1.109:5140$线路21
CCTV2,http://222.95.140.66:58888/udp/239.49.8.50:9802$线路22
CCTV2,http://171.107.72.140:4000/udp/239.81.0.115:4056$线路23
