斯玛特 央卫,#genre#
国家地理,http://150.138.77.132:10037/xxw/Smartv.php?id=natgeohd_twn
野生动物,http://150.138.77.132:10037/xxw/Smartv.php?id=natgeowild_twn
地理野生,http://150.138.77.132:10037/xxw/Smartv.php?id=natgeowildtamil_raj
EYETV戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=eyetvxiju_twn
EYETV旅游,http://150.138.77.132:10037/xxw/Smartv.php?id=?id=eyetvtravel_twn
好莱坞电影,http://150.138.77.132:10037/xxw/Smartv.php?id=hollywoodmovies_twn
爱尔达体育2,http://150.138.77.132:10037/xxw/Smartv.php?id=eltasport2_twn
爱尔达体育3,http://150.138.77.132:10037/xxw/Smartv.php?id=eltasport3_twn
Natgeo_HD,http://150.138.77.132:10037/xxw/Smartv.php?id=natgeohd_twn
NatGeo_Wild HD,http://150.138.77.132:10037/xxw/Smartv.php?id=natgeowild_twn

TVBS News 新闻台,http://150.138.77.132:10037/xxw/Smartv.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://150.138.77.132:10037/xxw/Smartv.php?id=tvbshuanle_twn
中天新闻 HD,http://150.138.77.132:10037/xxw/Smartv.php?id=ctinews
中天娱乐 CTI Entertaiment,http://150.138.77.132:10037/xxw/Smartv.php?id=ctient
中天综合 CTI Metro,http://150.138.77.132:10037/xxw/Smartv.php?id=ctizhonghe
中天亚洲台,http://150.138.77.132:10037/xxw/Smartv.php?id=ctiasia_twn
台视 TTV HD,http://150.138.77.132:10037/xxw/Smartv.php?id=ttv_taiwan
台视新闻台,http://150.138.77.132:10037/xxw/Smartv.php?id=ttvnews_twn
台视综合台,http://150.138.77.132:10037/xxw/Smartv.php?id=ttvzhonghe_twn
中视 HD,http://150.138.77.132:10037/xxw/Smartv.php?id=zhongshihd_twn
中视新闻台,http://150.138.77.132:10037/xxw/Smartv.php?id=zhongshinews_twn
民视 HD,http://150.138.77.132:10037/xxw/Smartv.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://150.138.77.132:10037/xxw/Smartv.php?id=ftvnew_taiwan
民视台湾台,http://150.138.77.132:10037/xxw/Smartv.php?id=ftvtaiwan_twn
华视 CTS HD,http://150.138.77.132:10037/xxw/Smartv.php?id=ctshd_twn
公视 CTV,http://150.138.77.132:10037/xxw/Smartv.php?id=ctv_taiwan
八大第一 GTV First,http://150.138.77.132:10037/xxw/Smartv.php?id=badafirst
八大综合 GTV Metro,http://150.138.77.132:10037/xxw/Smartv.php?id=badazhonghe
八大戏剧 GTV Drama,http://150.138.77.132:10037/xxw/Smartv.php?id=badadrama
八大娱乐 GTV Entertainment,http://150.138.77.132:10037/xxw/Smartv.php?id=badaentertain
HBO_HD,http://150.138.77.132:10037/xxw/Smartv.php?id=hbohd_twn
HBO_HITS,http://150.138.77.132:10037/xxw/Smartv.php?id=hbohits_twn
Hollywood Movies,http://150.138.77.132:10037/xxw/Smartv.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlitaiwan
三立戏剧台,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlizhonghe
三立都会台,http://150.138.77.132:10037/xxw/Smartv.php?id=sanlidouhui
东森新闻 ETTV News,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvnews
东森综合 ETTV Metro,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvdrama
东森财经新闻 ETTV Business,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvcaijing_twn
寰宇财经,http://150.138.77.132:10037/xxw/Smartv.php?id=huanyutaiwan_twn
寰宇新闻台,http://150.138.77.132:10037/xxw/Smartv.php?id=huanyuxinwen_twn
大爱1台,http://150.138.77.132:10037/xxw/Smartv.php?id=daai_twn
非凡新闻台,http://150.138.77.132:10037/xxw/Smartv.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuaxiju_twn
龙华戏剧台,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuaxiju_twn
龙华经典台,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuajingdian_twn
AXN Taiwan,http://150.138.77.132:10037/xxw/Smartv.php?id=axn_twn
靖天国际台,http://150.138.77.132:10037/xxw/Smartv.php?id=jingtianintl_twn
